config_label,sweep_origin,model,defense,attack,eps_x255,n_bins,n_samples,eot_k,aa_version,accuracy,pgd20_known
A_gaussian_n3,A,gaussian,rq,none,0,3,100,0,-,77.1600,39.22
A_gaussian_n3,A,gaussian,rq,pgd,8.0,3,100,0,-,39.6800,39.22
A_gaussian_n3,A,gaussian,rq,eot_pgd,8.0,3,100,10,-,19.2300,39.22
A_gaussian_n3,A,gaussian,rq,autoattack,8.0,3,100,0,rand,56.8800,39.22
A_baseline_n5,A,baseline,rq,none,0,5,100,0,-,71.3000,35.90
A_baseline_n5,A,baseline,rq,pgd,8.0,5,100,0,-,35.8800,35.90
A_baseline_n5,A,baseline,rq,eot_pgd,8.0,5,100,10,-,1.2100,35.90
A_baseline_n5,A,baseline,rq,autoattack,8.0,5,100,0,rand,30.0300,35.90
B_optimal_n8,B,rq,gaussian,none,0,8,100,0,-,76.8700,40.27
B_optimal_n8,B,rq,gaussian,pgd,8.0,8,100,0,-,40.6500,40.27
B_optimal_n8,B,rq,gaussian,eot_pgd,8.0,8,100,10,-,4.2600,40.27
B_optimal_n8,B,rq,gaussian,autoattack,8.0,8,100,0,rand,11.1200,40.27
B_secondary_5,B,rq_n5,gaussian,none,0,8,100,0,-,74.3800,39.96
B_secondary_5,B,rq_n5,gaussian,pgd,8.0,8,100,0,-,40.3300,39.96
B_secondary_5,B,rq_n5,gaussian,eot_pgd,8.0,8,100,10,-,6.2200,39.96
B_secondary_5,B,rq_n5,gaussian,autoattack,8.0,8,100,0,rand,15.7800,39.96
B_secondary_15,B,rq_n15,gaussian,none,0,8,100,0,-,73.3800,38.85
B_secondary_15,B,rq_n15,gaussian,pgd,8.0,8,100,0,-,38.7700,38.85
B_secondary_15,B,rq_n15,gaussian,eot_pgd,8.0,8,100,10,-,3.3600,38.85
B_secondary_15,B,rq_n15,gaussian,autoattack,8.0,8,100,0,rand,10.8400,38.85
C_dual_8_3,C,rq,rq,none,0,3,100,0,-,91.8300,39.02
C_dual_8_3,C,rq,rq,pgd,8.0,3,100,0,-,38.5700,39.02
C_dual_8_3,C,rq,rq,eot_pgd,8.0,3,100,10,-,12.1200,39.02
C_dual_8_3,C,rq,rq,autoattack,8.0,3,100,0,rand,39.5200,39.02
C_raw_5_2,C,rq_n5,rq,none,0,2,100,0,-,89.3400,53.13
C_raw_5_2,C,rq_n5,rq,pgd,8.0,2,100,0,-,53.0700,53.13
C_raw_5_2,C,rq_n5,rq,eot_pgd,8.0,2,100,10,-,41.8400,53.13
C_raw_5_2,C,rq_n5,rq,autoattack,8.0,2,100,0,rand,72.3700,53.13
C_hetero_15_3,C,rq_n15,rq,none,0,3,100,0,-,90.0500,45.35
C_hetero_15_3,C,rq_n15,rq,pgd,8.0,3,100,0,-,45.1900,45.35
C_hetero_15_3,C,rq_n15,rq,eot_pgd,8.0,3,100,10,-,11.6400,45.35
C_hetero_15_3,C,rq_n15,rq,autoattack,8.0,3,100,0,rand,49.8800,45.35
Diag_2_2,C-diag,rq_n2,rq,none,0,2,100,0,-,89.0000,42.07
Diag_2_2,C-diag,rq_n2,rq,pgd,8.0,2,100,0,-,41.9500,42.07
Diag_2_2,C-diag,rq_n2,rq,eot_pgd,8.0,2,100,10,-,30.2200,42.07
Diag_2_2,C-diag,rq_n2,rq,autoattack,8.0,2,100,0,rand,58.9700,42.07
Diag_8_8,C-diag,rq,rq,none,0,8,100,0,-,93.1300,6.40
Diag_8_8,C-diag,rq,rq,pgd,8.0,8,100,0,-,6.3600,6.40
Diag_8_8,C-diag,rq,rq,eot_pgd,8.0,8,100,10,-,1.2200,6.40
Diag_8_8,C-diag,rq,rq,autoattack,8.0,8,100,0,rand,3.3100,6.40
